target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9367825016329534,0.7889266035194631
label_afib_aflutter,1846,0.07258001100888574,0.9527237255074519,0.7032375521301968
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9326301363585419,0.4960038650418393
label_heart_failure_acute,999,0.03927813163481953,0.939507995820662,0.3779627052479872
label_brady_heart_block_conduction,382,0.015019265550051113,0.9360142944560131,0.2579991326416296
label_heart_failure_chronic,702,0.027600849256900213,0.9300967914505033,0.22471149817186523
label_valvular_endocardial_disease,625,0.02457340567743965,0.9288676206215486,0.21159387681741915
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9246209432132394,0.1847661232109149
label_stroke_tia,368,0.014468821262876465,0.9051524627158216,0.14991425609878647
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9280870800354405,0.13105539532320154
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8911140173926472,0.12200881506402768
label_ami_nstemi,306,0.012031139419674451,0.9227233687701972,0.1197587868968384
label_ami_stemi,57,0.0022410945977824957,0.9223402321068463,0.10852934025328233
label_aortic_peripheral_vascular,411,0.016159471573484314,0.895182368960216,0.08859496014630654
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8652767791747021,0.07254859863708252
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8647773770769901,0.03626452194492884
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8992693328275502,0.026812537768530063
