target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.8663642116172171,0.6450855741974906
label_afib_aflutter,1846,0.07258001100888574,0.9082639482293638,0.4931045695677452
label_chronic_ischemic_disease,1988,0.07816308877880003,0.887619187358219,0.3622816909887755
label_heart_failure_acute,999,0.03927813163481953,0.8998735998122126,0.24397013469377676
label_valvular_endocardial_disease,625,0.02457340567743965,0.9214486355757991,0.1925847432980282
label_heart_failure_chronic,702,0.027600849256900213,0.9138411060010608,0.16441376253211276
label_brady_heart_block_conduction,382,0.015019265550051113,0.9019157430032444,0.12844817393946834
label_stroke_tia,368,0.014468821262876465,0.8872156853732234,0.11359348237186956
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9069927180466026,0.0931886792183885
label_ami_nstemi,306,0.012031139419674451,0.9016545093045177,0.09145227439296741
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8770204404648453,0.06908137154910474
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.902036918411859,0.061918559130523555
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8094521846979451,0.048333139722783997
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8149801220658268,0.042171583581474686
label_pericardial_disease_tamponade,108,0.004246284501061571,0.7857077048619336,0.02099783313386914
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8691252990325791,0.017878322704466147
label_ami_stemi,57,0.0022410945977824957,0.8545070166451316,0.01653039660137336
