target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.936895353070636,0.7857377557059175
label_afib_aflutter,1846,0.07258001100888574,0.9523540257997024,0.7035857652397077
label_chronic_ischemic_disease,1988,0.07816308877880003,0.932336973731839,0.496263096016317
label_heart_failure_acute,999,0.03927813163481953,0.9403671320184519,0.39520086058035
label_brady_heart_block_conduction,382,0.015019265550051113,0.9368536480769213,0.25263140675819395
label_heart_failure_chronic,702,0.027600849256900213,0.9295082601729859,0.22014352336975218
label_valvular_endocardial_disease,625,0.02457340567743965,0.9274323995324277,0.1978240041519191
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9302008097241073,0.17891436380706388
label_ami_stemi,57,0.0022410945977824957,0.9021527298168185,0.1684660268095972
label_stroke_tia,368,0.014468821262876465,0.9009002104010629,0.15611941878910762
label_ami_nstemi,306,0.012031139419674451,0.9210209739207154,0.12260122769043677
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9286906662164068,0.12000876267403598
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8886930902352157,0.1017502226480449
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8949420061523934,0.0892018044538143
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8646364999476833,0.06488224613527409
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8849206349206349,0.048610771063548136
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8990807711765619,0.034715333149622545
