model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
large,cardiomyopathy_myocarditis,280,0.0113,0.9201,0.1835,1.0,0.0071,0.0142,0.9888
large,ventricular_arrhythmias_arrest,174,0.007,0.9339,0.1808,0.5,0.0287,0.0543,0.993
large,valvular_endocardial_disease,622,0.0251,0.9027,0.1801,0.0,0.0,0.0,0.9749
large,ami_nstemi,304,0.0123,0.9099,0.16,0.4348,0.0329,0.0612,0.9876
large,supraventricular_tachyarrhythmias,164,0.0066,0.8848,0.1498,1.0,0.0305,0.0592,0.9936
large,aortic_peripheral_vascular,408,0.0165,0.8802,0.0906,0.0,0.0,0.0,0.9835
large,pe_dvt_venous_thromboembolism,327,0.0132,0.8411,0.077,0.0,0.0,0.0,0.9868
large,unstable_angina_ac_ischemia,106,0.0043,0.8953,0.0431,0.0,0.0,0.0,0.9957
large,pericardial_disease_tamponade,108,0.0044,0.8688,0.0306,0.0,0.0,0.0,0.9956
medium,hypertension_crisis,5872,0.2369,0.9245,0.7482,0.7004,0.6928,0.6966,0.857
medium,afib_aflutter,1834,0.074,0.9474,0.6954,0.7898,0.4896,0.6045,0.9526
medium,chronic_ischemic_disease,1980,0.0799,0.907,0.4444,0.5899,0.1939,0.2919,0.9248
medium,heart_failure_acute,993,0.0401,0.9392,0.4277,0.6506,0.1762,0.2773,0.9632
medium,brady_heart_block_conduction,380,0.0153,0.9181,0.2357,0.9333,0.0368,0.0709,0.9852
medium,stroke_tia,359,0.0145,0.884,0.2135,0.6222,0.078,0.1386,0.986
medium,cardiomyopathy_myocarditis,280,0.0113,0.925,0.2013,0.625,0.0179,0.0347,0.9888
medium,valvular_endocardial_disease,622,0.0251,0.9066,0.1991,0.0,0.0,0.0,0.9749
medium,ami_stemi,55,0.0022,0.9413,0.199,0.0,0.0,0.0,0.9978
medium,heart_failure_chronic,700,0.0282,0.9155,0.1989,0.0,0.0,0.0,0.9718
medium,ventricular_arrhythmias_arrest,174,0.007,0.9389,0.1869,0.6667,0.023,0.0444,0.9931
medium,supraventricular_tachyarrhythmias,164,0.0066,0.8815,0.1396,0.6667,0.0244,0.0471,0.9935
medium,ami_nstemi,304,0.0123,0.908,0.1357,0.0,0.0,0.0,0.9877
medium,aortic_peripheral_vascular,408,0.0165,0.8785,0.0831,0.0,0.0,0.0,0.9835
medium,pe_dvt_venous_thromboembolism,327,0.0132,0.8399,0.0742,0.0,0.0,0.0,0.9868
medium,unstable_angina_ac_ischemia,106,0.0043,0.9027,0.0532,0.0,0.0,0.0,0.9957
medium,pericardial_disease_tamponade,108,0.0044,0.86,0.0402,0.0,0.0,0.0,0.9956
nogate_bce,hypertension_crisis,5872,0.2369,0.9241,0.7459,0.7017,0.6836,0.6925,0.8562
nogate_bce,afib_aflutter,1834,0.074,0.9464,0.6942,0.7782,0.5071,0.6141,0.9528
nogate_bce,chronic_ischemic_disease,1980,0.0799,0.9084,0.4438,0.5816,0.198,0.2954,0.9245
nogate_bce,heart_failure_acute,993,0.0401,0.9407,0.4286,0.6091,0.2165,0.3195,0.963
nogate_bce,brady_heart_block_conduction,380,0.0153,0.9172,0.2219,0.76,0.05,0.0938,0.9852
nogate_bce,stroke_tia,359,0.0145,0.8863,0.2115,0.6667,0.0334,0.0637,0.9858
nogate_bce,heart_failure_chronic,700,0.0282,0.9154,0.1943,0.0,0.0,0.0,0.9718
nogate_bce,valvular_endocardial_disease,622,0.0251,0.9058,0.1889,0.0,0.0,0.0,0.9749
nogate_bce,cardiomyopathy_myocarditis,280,0.0113,0.9234,0.185,0.8,0.0143,0.0281,0.9888
nogate_bce,ventricular_arrhythmias_arrest,174,0.007,0.9377,0.1769,0.0,0.0,0.0,0.993
nogate_bce,ami_stemi,55,0.0022,0.9379,0.1743,0.0,0.0,0.0,0.9978
nogate_bce,ami_nstemi,304,0.0123,0.9091,0.1509,0.0,0.0,0.0,0.9877
nogate_bce,supraventricular_tachyarrhythmias,164,0.0066,0.888,0.13,0.5294,0.0549,0.0994,0.9934
nogate_bce,aortic_peripheral_vascular,408,0.0165,0.8781,0.0875,0.0,0.0,0.0,0.9835
nogate_bce,pe_dvt_venous_thromboembolism,327,0.0132,0.8425,0.0692,0.0,0.0,0.0,0.9868
nogate_bce,unstable_angina_ac_ischemia,106,0.0043,0.9014,0.0568,0.0,0.0,0.0,0.9957
nogate_bce,pericardial_disease_tamponade,108,0.0044,0.8585,0.032,0.0,0.0,0.0,0.9956
nogate_bce_weighted,hypertension_crisis,5872,0.2369,0.893,0.6631,0.5124,0.9116,0.656,0.7735
nogate_bce_weighted,afib_aflutter,1834,0.074,0.9246,0.6076,0.6532,0.5556,0.6005,0.9453
nogate_bce_weighted,chronic_ischemic_disease,1980,0.0799,0.8693,0.3569,0.3152,0.5283,0.3948,0.8706
nogate_bce_weighted,heart_failure_acute,993,0.0401,0.9211,0.3479,0.4593,0.29,0.3556,0.9579
nogate_bce_weighted,ami_stemi,55,0.0022,0.9057,0.1919,0.191,0.3091,0.2361,0.9956
nogate_bce_weighted,brady_heart_block_conduction,380,0.0153,0.9034,0.1844,0.2658,0.1658,0.2042,0.9802
nogate_bce_weighted,heart_failure_chronic,700,0.0282,0.8986,0.1651,0.2083,0.0071,0.0138,0.9712
nogate_bce_weighted,valvular_endocardial_disease,622,0.0251,0.8845,0.1602,0.1892,0.0113,0.0212,0.974
nogate_bce_weighted,cardiomyopathy_myocarditis,280,0.0113,0.9065,0.1478,0.2579,0.1464,0.1868,0.9856
nogate_bce_weighted,ventricular_arrhythmias_arrest,174,0.007,0.895,0.1347,0.2738,0.1322,0.1783,0.9914
